#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor
 sn1994s 999 0.015177 999 14.762988 0.001041 0.222791 0.189143 -0.064676 0.031399 999 999 49518.395323 0.244384 999 999 999 999 999 999 999
 04D3cy 999 0.643000 999 23.785458 0.000854 -0.194011 0.203444 -0.031318 0.064293 999 999 53101.103330 0.265274 999 999 999 999 999 999 999
 06D3dt 999 0.282000 999 22.150878 0.000864 0.075200 0.094701 0.091711 0.022264 999 999 53849.045462 0.227577 999 999 999 999 999 999 999
 sn2006qo 999 0.029704 999 16.814749 -0.000375 0.466866 0.060423 0.165837 0.027177 999 999 54083.095738 0.067146 999 999 999 999 999 999 999
 SDSS7243 999 0.203700 999 20.780461 -0.002509 0.722264 0.381080 -0.020553 0.039011 999 999 53686.287440 0.324224 999 999 999 999 999 999 999
 SDSS17435 999 0.218000 999 20.708089 -0.002248 0.901977 0.254131 -0.108694 0.034714 999 999 54359.361166 0.296534 999 999 999 999 999 999 999
 SDSS20764 999 0.165000 999 20.273842 -0.002107 -1.334003 0.407586 -0.104411 0.029915 999 999 54421.655036 0.351888 999 999 999 999 999 999 999
 SDSS16069 999 0.128770 999 20.101985 -0.002656 0.878540 0.217451 0.156624 0.026632 999 999 54050.756775 0.185441 999 999 999 999 999 999 999
 sn1999aa 999 0.014443 999 14.703225 0.002417 1.180281 0.043610 -0.088976 0.020680 999 999 51232.696815 0.045157 999 999 999 999 999 999 999
 04D2gb 999 0.450000 999 22.906507 0.002516 -1.586810 0.172897 0.028028 0.034360 999 999 53108.402346 0.207948 999 999 999 999 999 999 999
 SDSS14437 999 0.144000 999 19.706740 -0.002564 0.598650 0.119337 -0.094422 0.023632 999 999 54009.823615 0.119221 999 999 999 999 999 999 999
 05D4cn 999 0.763000 999 24.052971 -0.002355 1.110496 0.242421 0.006132 0.056312 999 999 53583.636091 0.392182 999 999 999 999 999 999 999
 06D2cd 999 0.930000 999 24.724809 0.002506 0.268551 0.964693 0.024425 0.091332 999 999 53790.298634 1.380234 999 999 999 999 999 999 999
 SDSS6192 999 0.272000 999 21.679937 -0.002665 -1.876870 0.809144 -0.060757 0.048118 999 999 53672.827105 0.524187 999 999 999 999 999 999 999
 SDSS19230 999 0.221000 999 21.279297 -0.002580 -1.617713 0.437109 0.079457 0.045830 999 999 54390.413186 0.427696 999 999 999 999 999 999 999
 04D1aj 999 0.721000 999 23.887843 -0.001734 0.391657 0.358103 -0.033293 0.066348 999 999 52998.964268 0.563844 999 999 999 999 999 999 999
 SDSS3377 999 0.245100 999 20.796786 -0.001082 1.040036 0.301137 -0.079933 0.035095 999 999 53645.938436 0.322595 999 999 999 999 999 999 999
 SDSS13136 999 0.366000 999 22.299401 -0.002529 0.664409 0.843178 -0.101410 0.060227 999 999 53993.711717 1.085678 999 999 999 999 999 999 999
 sn2006ax 999 0.016738 999 14.980831 0.001386 0.153120 0.019139 -0.105180 0.018051 999 999 53827.499421 0.021318 999 999 999 999 999 999 999
 sn2006on 999 0.071900 999 18.410739 -0.004358 0.548574 0.212923 0.078956 0.021288 999 999 54064.234497 0.195497 999 999 999 999 999 999 999
 SDSS13070 999 0.198530 999 20.344305 -0.002611 0.927166 0.275016 -0.146623 0.028211 999 999 53986.564626 0.250685 999 999 999 999 999 999 999
 06D2gb 999 0.442000 999 22.997511 0.002510 -1.632440 0.248095 -0.014086 0.038669 999 999 53872.503177 0.329211 999 999 999 999 999 999 999
 06D4bw 999 0.732000 999 23.893429 -0.002348 0.680408 0.259749 0.011194 0.060353 999 999 53909.337140 0.473566 999 999 999 999 999 999 999
 05D3ne 999 0.169000 999 20.293605 0.000845 -1.464094 0.193025 -0.143142 0.030080 999 999 53570.816285 0.096779 999 999 999 999 999 999 999
