#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor
 sn1994s 999 0.015177 999 14.762988 0.001041 0.222790 0.189096 -0.064677 0.031399 999 999 49518.395324 0.244284 999 999 999 999 999 999 999
 04D3cy 999 0.643000 999 23.785458 0.000854 -0.194010 0.272462 -0.031317 0.076732 999 999 53101.103329 0.286667 999 999 999 999 999 999 999
 06D3dt 999 0.282000 999 22.150877 0.000864 0.075200 0.094698 0.091711 0.030656 999 999 53849.045463 0.228887 999 999 999 999 999 999 999
 sn2006qo 999 0.029704 999 16.814749 -0.000375 0.466866 0.060424 0.165837 0.027236 999 999 54083.095738 0.067144 999 999 999 999 999 999 999
 SDSS7243 999 0.203700 999 20.780466 -0.002509 0.722275 0.386687 -0.020551 0.040004 999 999 53686.287432 0.324320 999 999 999 999 999 999 999
 SDSS17435 999 0.218000 999 20.708089 -0.002248 0.901977 0.256325 -0.108694 0.035555 999 999 54359.361167 0.296993 999 999 999 999 999 999 999
 SDSS20764 999 0.165000 999 20.273839 -0.002107 -1.334003 0.408117 -0.104413 0.030260 999 999 54421.655045 0.351799 999 999 999 999 999 999 999
 SDSS16069 999 0.128770 999 20.101984 -0.002656 0.878539 0.217385 0.156624 0.026632 999 999 54050.756774 0.185399 999 999 999 999 999 999 999
 04D2gb 999 0.450000 999 22.906507 0.002516 -1.586808 0.172883 0.028028 0.034398 999 999 53108.402345 0.207897 999 999 999 999 999 999 999
 SDSS14437 999 0.144000 999 19.706740 -0.002564 0.598653 0.119327 -0.094422 0.023633 999 999 54009.823616 0.119210 999 999 999 999 999 999 999
 05D4cn 999 0.763000 999 24.053070 -0.002355 1.111525 0.267106 0.006140 0.056315 999 999 53583.637294 0.404784 999 999 999 999 999 999 999
 06D2cd 999 0.930000 999 24.725022 0.002506 0.271594 3.264101 0.024513 0.514472 999 999 53790.302848 2.955918 999 999 999 999 999 999 999
 SDSS6192 999 0.272000 999 21.679938 -0.002665 -1.876846 0.825505 -0.060759 0.049279 999 999 53672.827122 0.525733 999 999 999 999 999 999 999
 SDSS19230 999 0.221000 999 21.279297 -0.002580 -1.617729 0.436550 0.079457 0.045829 999 999 54390.413184 0.427175 999 999 999 999 999 999 999
 04D1aj 999 0.721000 999 23.887843 -0.001734 0.391658 0.405038 -0.033293 0.066708 999 999 52998.964268 0.587364 999 999 999 999 999 999 999
 SDSS3377 999 0.245100 999 20.796561 -0.001082 1.038396 0.300885 -0.080207 0.035088 999 999 53645.939820 0.322347 999 999 999 999 999 999 999
 SDSS13136 999 0.366000 999 22.299454 -0.002529 0.664795 0.906383 -0.101389 0.062460 999 999 53993.712108 1.145982 999 999 999 999 999 999 999
 sn2006ax 999 0.016738 999 14.980831 0.001386 0.153120 0.019139 -0.105180 0.018051 999 999 53827.499421 0.021318 999 999 999 999 999 999 999
 sn2006on 999 0.071900 999 18.410739 -0.004358 0.548583 0.212860 0.078956 0.021289 999 999 54064.234498 0.195449 999 999 999 999 999 999 999
 SDSS13070 999 0.198530 999 20.344306 -0.002611 0.927165 0.274916 -0.146623 0.028216 999 999 53986.564627 0.250595 999 999 999 999 999 999 999
