#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor x0 dx0
SDSS1253 999 0.262000 999 21.217469 999 -0.959107 0.448449 -0.118613 0.048628 999 999 53634.279511 0.418670 999 999 999 999 999 999 999 5.858644e-05 2.764991e-06
sn2002hu 999 0.038000 999 16.620587 999 0.514928 0.089283 -0.090361 0.021086 999 999 52592.571941 0.090743 999 999 999 999 999 999 999 4.008656e-03 8.545770e-05
04D2fp 999 0.415000 999 22.548970 999 0.385016 0.128274 -0.049087 0.027500 999 999 53107.436816 0.162160 999 999 999 999 999 999 999 1.728586e-05 4.143898e-07
03D4ag 999 0.285000 999 21.255231 999 0.939616 0.104780 -0.084704 0.023411 999 999 52830.932275 0.095757 999 999 999 999 999 999 999 5.655066e-05 1.526221e-06
04D3gt 999 0.451000 999 23.246291 999 -0.245760 0.110565 0.192514 0.028697 999 999 53137.853965 0.149092 999 999 999 999 999 999 999 9.049870e-06 2.243403e-07
sn2006an 999 0.064001 999 18.052286 999 0.645153 0.208645 -0.044878 0.028875 999 999 53790.529532 0.510410 999 999 999 999 999 999 999 1.065213e-03 3.593469e-05
05D3ha 999 0.805000 999 24.368409 999 -0.188484 0.391704 0.091810 0.063054 999 999 53484.825229 0.351500 999 999 999 999 999 999 999 3.186515e-06 1.596804e-07
sn2004gu 999 0.045900 999 17.424296 999 1.334369 0.058328 0.078449 0.019542 999 999 53362.564413 0.116734 999 999 999 999 999 999 999 1.908499e-03 3.308018e-05
sn2005hc 999 0.045890 999 17.322167 999 0.739743 0.025726 -0.028235 0.011882 999 999 53667.801240 0.034021 999 999 999 999 999 999 999 2.118720e-03 2.400829e-05
05D3kp 999 0.850000 999 24.106914 999 1.277444 0.232867 -0.143984 0.048298 999 999 53530.040431 0.329382 999 999 999 999 999 999 999 4.044614e-06 1.225905e-07
05D3dd 999 0.480000 999 22.951216 999 -0.213518 0.125291 -0.033755 0.024403 999 999 53455.296510 0.109618 999 999 999 999 999 999 999 1.192239e-05 2.818332e-07
05D2nt 999 0.757000 999 24.090040 999 1.515381 0.308456 -0.010431 0.050756 999 999 53727.538475 0.439235 999 999 999 999 999 999 999 4.144529e-06 1.197302e-07
SDSS19992 999 0.226000 999 21.144492 999 0.273630 0.526556 -0.080870 0.045810 999 999 54404.593992 0.455554 999 999 999 999 999 999 999 6.263124e-05 3.308228e-06
sn2005bg 999 0.023100 999 15.846791 999 0.397300 0.056076 -0.032754 0.018761 999 999 53469.933626 0.117960 999 999 999 999 999 999 999 8.215207e-03 1.425550e-04
04D3nr 999 0.960000 999 24.542669 999 0.255322 0.484257 0.020838 0.057414 999 999 53185.960328 0.598631 999 999 999 999 999 999 999 2.678647e-06 1.548736e-07
