#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor x0 dx0
SDSS1253 999 0.262000 999 21.217439 999 -0.958941 0.455247 -0.118690 0.049573 999 999 53634.279473 0.418228 999 999 999 999 999 999 999 5.858806e-05 2.863096e-06
04D2fp 999 0.415000 999 22.548970 999 0.385016 0.130502 -0.049087 0.033158 999 999 53107.436816 0.163114 999 999 999 999 999 999 999 1.728586e-05 5.095907e-07
03D4ag 999 0.285000 999 21.255228 999 0.939613 0.106869 -0.084705 0.025817 999 999 52830.932282 0.095791 999 999 999 999 999 999 999 5.655080e-05 1.725937e-06
04D3gt 999 0.451000 999 23.246291 999 -0.245760 0.116163 0.192514 0.046297 999 999 53137.853966 0.149894 999 999 999 999 999 999 999 9.049870e-06 3.726601e-07
sn2006an 999 0.064001 999 18.052293 999 0.645216 0.208577 -0.044870 0.028874 999 999 53790.529445 0.509496 999 999 999 999 999 999 999 1.065207e-03 3.593286e-05
05D3ha 999 0.805000 999 24.368406 999 -0.188522 3.303401 0.091806 0.078624 999 999 53484.825225 0.862073 999 999 999 999 999 999 999 3.186524e-06 1.511217e-06
sn2004gu 999 0.045900 999 17.424142 999 1.333962 0.058312 0.078401 0.019539 999 999 53362.564932 0.116694 999 999 999 999 999 999 999 1.908771e-03 3.308090e-05
05D3kp 999 0.850000 999 24.106903 999 1.277420 0.252806 -0.143987 0.049721 999 999 53530.040306 0.332909 999 999 999 999 999 999 999 4.044654e-06 1.367583e-07
05D3dd 999 0.480000 999 22.951216 999 -0.213517 0.141416 -0.033755 0.034664 999 999 53455.296510 0.110898 999 999 999 999 999 999 999 1.192239e-05 4.239991e-07
05D2nt 999 0.757000 999 24.090041 999 1.515384 0.308701 -0.010430 0.050773 999 999 53727.538483 0.439120 999 999 999 999 999 999 999 4.144527e-06 1.199467e-07
SDSS19992 999 0.226000 999 21.144492 999 0.273633 0.554561 -0.080869 0.048303 999 999 54404.593995 0.469846 999 999 999 999 999 999 999 6.263123e-05 3.569532e-06
sn2005bg 999 0.023100 999 15.846791 999 0.397300 0.056075 -0.032754 0.018761 999 999 53469.933626 0.117949 999 999 999 999 999 999 999 8.215207e-03 1.425550e-04
04D3nr 999 0.960000 999 24.542677 999 0.255383 0.486028 0.020838 0.057628 999 999 53185.960336 0.597988 999 999 999 999 999 999 999 2.678629e-06 1.560929e-07
05D4ag 999 0.640000 999 23.886376 999 0.523245 0.478807 0.091201 0.059278 999 999 53538.622415 0.488389 999 999 999 999 999 999 999 5.004518e-06 2.083550e-07
SDSS19008 999 0.219000 999 21.083810 999 1.082021 0.407996 0.085623 0.042484 999 999 54392.649685 0.349161 999 999 999 999 999 999 999 6.613414e-05 3.278750e-06
SDSS4241 999 0.332000 999 21.962401 999 0.244542 0.674170 -0.056409 0.055470 999 999 53638.470983 0.721568 999 999 999 999 999 999 999 2.950791e-05 1.800634e-06
SDSS8719 999 0.117800 999 19.417202 999 -0.021829 0.161792 -0.066271 0.023809 999 999 53690.032923 0.105736 999 999 999 999 999 999 999 3.072902e-04 9.055170e-06
sn2005na 999 0.026322 999 15.903012 999 -0.449218 0.028449 -0.117684 0.019169 999 999 53740.725784 0.058264 999 999 999 999 999 999 999 7.785363e-03 1.333142e-04
SDSS18091 999 0.371500 999 21.893442 999 -0.640961 0.730715 -0.195105 0.064789 999 999 54372.179625 0.608231 999 999 999 999 999 999 999 3.143261e-05 2.753480e-06
SDSS18807 999 0.177000 999 20.589421 999 0.470732 0.243176 -0.012134 0.027724 999 999 54390.270703 0.236354 999 999 999 999 999 999 999 1.044801e-04 3.163129e-06
SDSS16116 999 0.150000 999 19.967926 999 0.507745 0.287849 -0.097620 0.025220 999 999 54053.281016 0.233316 999 999 999 999 999 999 999 1.850171e-04 5.093194e-06
05D2mp 999 0.353700 999 22.386455 999 1.275714 0.186531 0.013954 0.024854 999 999 53711.646296 0.134252 999 999 999 999 999 999 999 2.004849e-05 5.917693e-07
SDSS6406 999 0.124490 999 19.606359 999 0.118657 0.130260 -0.003538 0.021984 999 999 53674.772063 0.104767 999 999 999 999 999 999 999 2.583252e-04 6.495801e-06
05D3hs 999 0.664000 999 23.506135 999 0.553969 0.268530 -0.167693 0.058729 999 999 53490.908750 0.337302 999 999 999 999 999 999 999 7.125679e-06 3.264781e-07
Torngasek 999 1.265000 999 25.735589 999 0.285649 0.559878 0.020972 0.047730 999 999 52693.623284 1.764962 999 999 999 999 999 999 999 9.157484e-07 3.516862e-08
sn2006ar 999 0.022539 999 16.436155 999 -1.043030 0.216579 0.082551 0.027414 999 999 53813.673883 0.144328 999 999 999 999 999 999 999 4.758816e-03 1.304109e-04
05D3mn 999 0.760000 999 24.013467 999 -0.123088 0.292716 -0.036515 0.050930 999 999 53559.291753 0.325941 999 999 999 999 999 999 999 4.440781e-06 1.151180e-07
SDSS2635 999 0.143700 999 19.813006 999 0.863115 0.133627 -0.048931 0.023227 999 999 53640.272580 0.169973 999 999 999 999 999 999 999 2.136686e-04 5.604984e-06
SDSS12855 999 0.172000 999 20.779882 999 -1.920467 0.299131 0.040953 0.036058 999 999 53996.151148 0.327359 999 999 999 999 999 999 999 8.752348e-05 3.168263e-06
04D2mc 999 0.348000 999 22.508868 999 -1.794688 0.124984 0.083001 0.029781 999 999 53367.174199 0.131965 999 999 999 999 999 999 999 1.789193e-05 5.963489e-07
sn2007bc 999 0.020771 999 15.883971 999 -1.223298 0.080546 -0.014083 0.028606 999 999 54200.353935 0.142024 999 999 999 999 999 999 999 7.931507e-03 2.273474e-04
05D3jr 999 0.370000 999 22.629448 999 -0.887541 0.119715 0.048471 0.022952 999 999 53494.659162 0.268396 999 999 999 999 999 999 999 1.600077e-05 3.884424e-07
05D3mq 999 0.246000 999 21.502907 999 -0.683955 0.170447 -0.000701 0.025978 999 999 53575.757829 0.158325 999 999 999 999 999 999 999 4.512462e-05 1.207109e-06
