#name mBc dmBc mB dmB x0 dx0 x1 dx1 c dc tmax dtmax z
SDSS10028 18.347945 0.112975 18.3495267442 0.0283030879235 0.000823896717581 2.16640403334e-05 -1.20179866507 0.187010448513 0.0100602757594 0.0254131697398 53693.6603369 0.177004203699 0.06533
SDSS1032 20.336945 0.115931 20.3371078531 0.0406808466898 0.00013201605844 5.00684444594e-06 -2.52861659958 0.199976070338 0.0505064753788 0.0367792123074 53626.5210127 0.198806979599 0.12976
SDSS10434 19.156988 0.114221 19.1583890195 0.0352011290226 0.000391341387894 1.27144902195e-05 -0.00543426287777 0.280896570146 -0.0874103670864 0.0268958545874 53696.4707872 0.217772682667 0.10418
SDSS10805 17.531728 0.11486 17.5341743926 0.0302938054441 0.00174491411376 4.92390670729e-05 -0.952692897704 0.402380776435 0.0566782805655 0.0248920493324 53698.6876836 0.12547247656 0.04542
SDSS11067 19.114133 0.112246 19.1148097445 0.0283590374516 0.000407359406332 1.06689198625e-05 1.73369771103 0.520617817763 -0.072350909838 0.0263507139097 53702.7775281 0.402505022816 0.114
SDSS1112 21.537919 0.12482 21.54011211 0.0608250074327 4.36286380393e-05 2.45819331742e-06 -0.623264791402 0.675407980037 -0.0268173781614 0.0519178678637 53630.0860042 0.678609548082 0.25764
SDSS11206 22.200281 0.138121 22.2024872924 0.083474108798 2.36961048045e-05 1.82541907134e-06 -1.51028811937 0.872759592335 -0.205532208261 0.0851535925796 53697.2222518 1.64868826441 0.3819
SDSS11300 20.28342 0.113737 20.2847054837 0.0339479117536 0.000138495529948 4.39555712462e-06 -1.60735467468 0.675536528763 0.0751457298453 0.0327650100251 53699.544122 0.319764921373 0.1468
SDSS1241 19.115082 0.11251 19.1166787134 0.0286585189822 0.0004062762199 1.08384291678e-05 -0.54752371366 0.0787239679491 0.048944683785 0.0227538319503 53635.3707488 0.0784587116541 0.0902
SDSS1253 21.218177 0.120435 21.2201913911 0.0511653395315 5.85896451645e-05 2.76470022012e-06 -0.959240821703 0.447846885795 -0.118798303017 0.0486221301412 53634.279829 0.41864364842 0.262
SDSS12779 19.149702 0.117766 19.1509002408 0.0446854366899 0.000393381183863 1.64018083745e-05 -0.561484636089 0.260777836894 0.0962433835989 0.0295502156393 53971.7259839 0.969510944862 0.07995
SDSS12781 19.38627 0.115125 19.3878672201 0.0373906405931 0.000316524206346 1.09920989332e-05 -1.83207559533 0.188046503149 0.0362062386933 0.0267764081193 53979.3089635 0.223952291868 0.08431
SDSS12843 20.412042 0.118455 20.4132959825 0.0473461058637 0.000123093267998 5.42083144161e-06 -1.01868402277 0.298736118198 0.0374586350861 0.0347567907876 53982.0991124 0.195337573779 0.16695
SDSS12853 20.17402 0.116716 20.1751508044 0.0427937070842 0.00015340098103 6.06949028015e-06 -0.580103032406 0.345008601589 -0.061755517146 0.0319893986669 53979.2934708 0.325165087339 0.1694
SDSS12855 20.781976 0.114853 20.7833745502 0.0373999720085 8.75348389959e-05 3.04977916498e-06 -1.91819718101 0.297270343743 0.040562656067 0.0348134181789 53996.1500099 0.327576076037 0.172
SDSS12856 20.134725 0.112043 20.1361593124 0.0275930791408 0.00015901832898 4.04738203679e-06 0.860171489726 0.200447296555 -0.0897351008531 0.0232346262829 53996.9139241 0.239305072064 0.17167
SDSS12860 20.209823 0.113463 20.2110406999 0.0329358802696 0.00014803739386 4.57296260692e-06 -0.303463518492 0.2000298901 0.140893777525 0.0276575350144 53993.7770267 0.278715836081 0.1217
SDSS12869 21.365495 0.126014 21.3677030868 0.0629974106261 5.11416300461e-05 2.98361099996e-06 0.207633401942 0.834884226969 -0.0413007325357 0.0505063658718 53978.9873341 1.21394717637 0.278
SDSS12881 21.098958 0.118789 21.100758652 0.0475661729555 6.53545857184e-05 2.88914427103e-06 0.772132181968 0.519461876729 0.0348300192696 0.0388891839386 53980.3003605 0.562985555771 0.233
SDSS12883 21.588074 0.1459 21.5901229012 0.0965796430993 4.16706127933e-05 3.72927667795e-06 -1.95549791833 0.844198723106 -0.0577125952097 0.0720925325614 53980.1314753 0.813258697835 0.307
